dataset,measure,value,region,period,typ
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców,  NaN,,2024-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców,  NaN,,2024-Q4, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców,  NaN,,2025-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 29 480,,2024-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 26166,,2024-Q4, ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 25034,,2025-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q4 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2025-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 11186,,2024-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 11044,,2024-Q4 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 10946,,2025-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q4 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2025-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2024-Q4, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN,,2025-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,5794717709.21,,2024-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,6206531231.02,,2024-Q4, ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,6297893918.59,,2025-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,4574121843.95,,2024-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,4908479764.66,,2024-Q4 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,4982650839.4,,2025-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,920282653.12,,2024-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,976936866.75,,2024-Q4 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,989603617.72,,2025-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,300293926.09,,2024-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,321093815.76,,2024-Q4 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,325618296.62,,2025-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,19286.05,,2024-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,20783.85,,2024-Q4, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł,21164.85,,2025-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 180316891.07,,2024-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 172566874.24,,2024-Q4, ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 167659453.42,,2025-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q4 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2025-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 69405551.42,,2024-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 74152292.35,,2024-Q4 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 74733521.98,,2025-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q4 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2025-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2024-Q4, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN,,2025-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 1991.50,,2024-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2140.72,,2024-Q4, ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2178.42,,2025-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 1999.37,,2024-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2146.14,,2024-Q4 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2184.49,,2025-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 1836.57,,2024-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 1974.75,,2024-Q4 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2013.48,,2025-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2484.83,,2024-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2734.27,,2024-Q4 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, 2744.96,,2025-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, NaN,,2024-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, NaN,,2024-Q4, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciętne świadczenie w zl, NaN,,2025-Q1, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,968496,,2024-Q1,EMERYTURY I RENTY ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,761183,,2024-Q1,Emerytury ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,207313,,2024-Q1,Renty ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,761183,,2024-Q1,EMERYTURY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,697217,,2024-Q1,Emerytury rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,10287,,2024-Q1,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,51312,,2024-Q1,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,2367,,2024-Q1,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,207313,,2024-Q1,RENTY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,167029,,2024-Q1,Renty z tytułu niezdolności do pracy razem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,11186,,2024-Q1,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,165383,,2024-Q1,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,109,,2024-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,374,,2024-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,1163,,2024-Q1,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,40284,,2024-Q1,RENTY RODZINNE RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,744,,2024-Q1,w tym renty rodzinne wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,38998,,2024-Q1,Renty rodzinne rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,261,,2024-Q1,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,704,,2024-Q1,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,321,,2024-Q1,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,964988,,2024-Q4,EMERYTURY I RENTY ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,760939,,2024-Q4,Emerytury ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,204049,,2024-Q4,Renty ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,760939,,2024-Q4,EMERYTURY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,704738,,2024-Q4,Emerytury rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,9041,,2024-Q4,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,44851,,2024-Q4,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,2310,,2024-Q4,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,204049,,2024-Q4,RENTY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,164905,,2024-Q4,Renty z tytułu niezdolności do pracy razem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,11044,,2024-Q4,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,163448,,2024-Q4,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,96,,2024-Q4,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,333,,2024-Q4,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,1028,,2024-Q4,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,39144,,2024-Q4,RENTY RODZINNE RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,713,,2024-Q4,w tym renty rodzinne wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,37900,,2024-Q4,Renty rodzinne rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,246,,2024-Q4,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,681,,2024-Q4,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,317,,2024-Q4,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,962228,,2025-Q1,EMERYTURY I RENTY ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,758857,,2025-Q1,Emerytury ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,163830,,2025-Q1,Renty ogółem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,758857,,2025-Q1,EMERYTURY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,705285,,2025-Q1,Emerytury rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,8619,,2025-Q1,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,42659,,2025-Q1,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,2294,,2025-Q1,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,203371,,2025-Q1,RENTY RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,163830,,2025-Q1,Renty z tytułu niezdolności do pracy razem
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,10946,,2025-Q1,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,162431,,2025-Q1,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,93,,2025-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,320,,2025-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,986,,2025-Q1,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,39541,,2025-Q1,RENTY RODZINNE RAZEM
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,722,,2025-Q1,w tym renty rodzinne wypadkowe
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,38318,,2025-Q1,Renty rodzinne rolnicze
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,235,,2025-Q1,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,672,,2025-Q1,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 1 (13). PRZECIĘTNA MIESIĘCZNA LICZBA EMERYTUR I RENT WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,316,,2025-Q1,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
